id;name;full_name;overall_rating;value_euro;wage_euro;nationality;national_team;club_team;age;height_cm;weight_kgs;international_reputation(1-5);weak_foot(1-5);skill_moves(1-5);club_rating;Goleiro;Zagueiro;Meio;Atacante;crossing;finishing;heading_accuracy;short_passing;dribbling;jumping;strength;long_shots;aggression;GK_reflexes
158023;Messi;Lionel Andrés Messi Cuccittini;94;110500000;565000;Argentina;Argentina;FC Barcelona;31;170;72;5;4;4;86;0;0;0;1;86;95;70;92;97;68;66;94;48;8
153079;Aguero;Sergio Leonel Agüero del Castillo;89;64500000;300000;Argentina;Argentina;Manchester City;30;173;70;4;4;4;85;0;0;0;0;70;93;77;81;89;81;73;83;65;14
211110;Dybala;Paulo Bruno Exequiel Dybala;89;89000000;205000;Argentina;Argentina;Juventus;25;152;75;3;3;4;85;0;0;0;1;82;84;68;87;92;75;65;88;48;8
201399;Icardi;Mauro Emanuel Icardi Rivero;87;64500000;130000;Argentina;Argentina;Inter;26;155;75;3;4;3;82;0;0;0;1;46;91;91;73;77;94;76;70;56;9
226226;Lo Celso;Giovani Lo Celso;82;30000000;83000;Argentina;Argentina;Real Betis;22;175;70;1;3;4;80;0;0;0;0;75;77;59;82;84;64;69;76;65;14
199667;Funes Mori;José Ramiro Funes Mori;77;8500000;28000;Argentina;Argentina;Villarreal CF;28;185;79;2;3;2;79;0;0;0;0;66;40;79;70;63;77;78;56;83;7
212616;De Paul;Rodrigo Javier De Paul;77;12000000;27000;Argentina;Argentina;Udinese;24;152;70;1;3;4;75;0;0;0;0;76;68;50;78;83;58;68;79;56;14
216816;Simeone;Giovanni Pablo Simeone;78;15000000;53000;Argentina;Argentina;Fiorentina;23;155;81;2;3;3;76;0;0;0;0;40;79;80;68;76;84;72;66;70;11
183892;Mercado;Gabriel Iván Mercado;79;8500000;19000;Argentina;Argentina;Sevilla FC;31;155;83;1;3;2;80;0;0;0;0;68;60;76;71;57;76;82;58;81;6
231478;Martínez;Lautaro Martínez;79;18000000;54000;Argentina;Argentina;Inter;21;175;79;1;4;4;82;0;0;0;0;56;82;79;62;78;81;86;68;74;13
173373;Romero;Sergio Germán Romero;80;9000000;91000;Argentina;Argentina;Manchester United;32;193;87;3;3;1;82;0;0;0;0;11;14;12;39;12;63;75;11;33;83
193061;Pereyra;Roberto Pereyra;80;15500000;65000;Argentina;Argentina;Watford;28;183;77;2;4;4;77;0;0;0;0;78;74;60;82;84;65;63;74;66;8
193601;Pezzella;Germán Alejandro Pezzella;80;14500000;59000;Argentina;Argentina;Fiorentina;27;185;81;1;3;2;76;0;0;0;0;40;48;82;64;54;82;82;50;82;15
207439;Paredes;Leandro Paredes;80;19500000;72000;Argentina;Argentina;Paris Saint-Germain;24;155;75;2;4;4;84;0;0;1;0;76;55;60;84;78;61;69;80;79;10
211256;Tagliafico;Nicolás Alejandro Tagliafico;80;15000000;20000;Argentina;Argentina;Ajax;26;173;65;2;2;3;78;0;1;0;0;75;57;73;75;74;90;63;44;78;16
170368;Lamela;Erik Lamela;81;21000000;105000;Argentina;Argentina;Tottenham Hotspur;27;183;80;2;2;4;83;0;0;0;0;78;74;69;83;86;63;68;82;84;13
192366;Otamendi;Nicolás Hernán Otamendi;84;23000000;160000;Argentina;Argentina;Manchester City;31;183;81;3;3;2;85;0;0;0;0;52;54;84;75;51;92;80;56;91;12
199005;Ryan;Mathew Ryan;80;13000000;43000;Australia;Australia;Brighton & Hove Albion;26;183;82;1;4;1;76;1;0;0;0;23;11;14;40;13;78;68;18;36;83
195033;Leckie;Mathew Leckie;75;7000000;25000;Australia;Australia;Hertha BSC;28;155;82;2;4;3;77;0;0;0;0;76;68;72;68;76;87;70;67;73;10
182440;Kruse;Robbie Kruse;72;3000000;14000;Australia;Australia;VfL Bochum 1848;30;152;70;1;2;3;70;0;0;0;0;68;73;52;69;70;70;54;70;62;15
199002;Amini;Mustafa Amini;65;675000;4000;Australia;Australia;Aarhus GF;25;175;75;1;4;3;65;0;0;0;0;52;55;48;68;66;74;69;61;66;10
224297;Gersbach;Alex Gersbach;65;750000;2000;Australia;Australia;NAC Breda;21;183;73;1;3;2;67;0;0;0;0;60;34;53;57;59;62;71;34;61;11
212830;Mabil;Awer Mabil;70;2600000;12000;Australia;Australia;FC Midtjylland;23;152;73;1;3;4;71;0;0;0;1;68;59;33;62;75;56;46;44;35;12
211378;Irvine;Jackson Irvine;71;3100000;17000;Australia;Australia;Hull City;26;188;70;1;3;3;70;0;0;0;0;61;70;73;69;67;82;80;66;75;11
176992;Milligan;Mark  Milligan;72;1800000;6000;Australia;Australia;Hibernian;33;152;78;1;3;2;67;0;0;0;0;61;48;68;70;62;77;79;67;80;8
202157;Behich;Aziz Eraltay Behich;73;3300000;12000;Australia;Australia;PSV;28;170;63;1;4;3;76;0;1;0;0;74;65;54;74;74;73;54;62;79;15
205347;Luongo;Massimo  Luongo;73;4200000;8000;Australia;Australia;Queens Park Rangers;26;175;76;1;3;3;70;0;0;0;0;51;63;59;71;71;84;70;63;79;6
181481;Vukovic;Danny Vukovic;74;2800000;11000;Australia;Australia;KRC Genk;33;188;99;1;3;1;74;0;0;0;0;11;11;16;25;11;69;76;13;41;77
199000;Sainsbury;Trent Sainsbury;74;5500000;13000;Australia;Australia;PSV;27;183;78;1;3;2;76;0;0;0;0;58;45;74;67;55;77;76;43;62;6
207928;Rogi?;Tom Rogi?;76;9500000;46000;Australia;Australia;Celtic;26;188;88;1;4;4;74;0;0;0;1;61;70;60;76;82;52;77;80;48;11
184200;Arnautovi?;Marko Arnautovi?;82;22000000;120000;Austria;Austria;West Ham United;29;193;83;3;4;4;79;0;0;0;0;78;78;74;78;84;67;84;75;84;15
204923;Sabitzer;Marcel Sabitzer;81;22500000;54000;Austria;Austria;RB Leipzig;24;152;77;2;4;3;79;0;0;1;0;70;79;56;79;79;75;76;81;70;13
201922;Hinteregger;Martin Hinteregger;78;10500000;24000;Austria;Austria;Eintracht Frankfurt;26;183;83;2;3;2;78;0;0;0;0;53;48;77;63;55;85;83;71;82;10
189606;Baumgartlinger;Julian Baumgartlinger;78;7500000;53000;Austria;Austria;Bayer 04 Leverkusen;31;183;86;2;3;2;80;0;0;0;0;63;39;69;81;65;80;78;39;84;14
195038;Kainz;Florian Kainz;75;8000000;19000;Austria;Austria;1. FC Koln;26;175;71;1;5;4;76;0;0;0;0;72;71;43;72;80;70;55;76;37;13
221931;Žulj;Peter Žulj;74;7000000;17000;Austria;Austria;RSC Anderlecht;25;185;80;1;3;4;73;0;0;0;0;69;65;58;75;74;51;76;72;45;15
177578;Prödl;Sebastian Prödl;74;3800000;39000;Austria;Austria;Watford;31;196;97;2;2;2;77;0;0;0;0;44;34;81;60;30;34;88;32;84;8
209997;Wimmer;Kevin Wimmer;74;6000000;32000;Austria;Austria;Hannover 96;26;188;85;2;3;2;75;0;0;0;0;44;21;74;72;63;64;79;25;74;11
211147;Lazaro;Valentino Lazaro;75;7500000;20000;Austria;Austria;Hertha BSC;22;152;75;1;3;4;77;0;0;1;0;80;69;47;77;81;56;66;70;65;8
194665;Ilsanker;Stefan Ilsanker;75;5000000;40000;Austria;Austria;RB Leipzig;29;188;86;1;3;2;79;0;0;0;0;39;45;72;71;50;60;84;62;89;17
210489;Schaub;Louis Schaub;75;9000000;18000;Austria;Austria;1. FC Koln;24;152;70;1;3;3;76;0;0;0;0;67;69;52;74;83;69;65;65;60;14
220925;Schöpf;Alessandro Schöpf;77;11500000;27000;Austria;Austria;FC Schalke 04;25;152;74;1;4;3;78;0;0;0;0;76;72;44;75;80;62;62;72;60;10
228336;Grillitsch;Florian Grillitsch;77;11500000;30000;Austria;Austria;TSG 1899 Hoffenheim;23;188;77;2;3;3;78;0;0;0;0;68;58;61;81;76;48;68;55;49;7
189060;Dragovi?;Aleksandar Dragovi?;77;7500000;50000;Austria;Austria;Bayer 04 Leverkusen;28;185;88;2;4;2;80;0;0;0;0;49;41;76;67;62;80;80;53;74;8
199439;Gregoritsch;Michael Gregoritsch;79;16000000;27000;Austria;Austria;FC Augsburg;24;193;87;2;3;4;74;0;0;0;0;65;79;71;77;75;50;79;80;58;6
197445;Alaba;David Olatukunbo Alaba;84;30500000;98000;Austria;Austria;FC Bayern Munchen;26;155;76;4;4;3;85;0;0;0;0;81;63;75;82;79;82;71;82;69;9
192119;Courtois;Thibaut Courtois;89;53500000;240000;Belgium;Belgium;Real Madrid;26;198;96;4;2;1;86;1;0;0;0;14;14;13;33;13;68;70;17;23;88
172871;Vertonghen;Jan Vertonghen;87;34000000;155000;Belgium;Belgium;Tottenham Hotspur;31;188;86;3;3;3;83;0;0;0;0;72;56;80;79;71;85;79;66;84;7
175943;Mertens;Dries Mertens;87;45000000;135000;Belgium;Belgium;Napoli;31;170;61;3;4;4;82;0;0;0;1;77;86;35;82;91;60;42;81;59;4
184087;Alderweireld;Toby Alderweireld;87;44000000;165000;Belgium;Belgium;Tottenham Hotspur;30;185;81;3;3;2;83;0;0;0;0;64;45;82;79;62;84;79;65;81;14
208330;Januzaj;Adnan Januzaj;79;17500000;32000;Belgium;Belgium;Real Sociedad;24;185;76;1;4;4;77;0;0;0;0;82;71;42;79;85;61;59;71;41;7
212501;Dendoncker;Leander Dendoncker;79;14500000;20000;Belgium;Belgium;Wolverhampton Wanderers;23;188;88;2;4;2;76;0;0;0;0;75;66;78;79;69;67;87;76;74;6
216393;Tielemans;Youri Tielemans;78;16000000;47000;Belgium;Belgium;Leicester City;21;175;72;2;5;4;78;0;0;0;0;76;73;57;78;76;65;69;86;70;12
157304;Vermaelen;Thomas Vermaelen;77;5000000;110000;Belgium;Belgium;FC Barcelona;33;183;80;3;3;2;86;0;0;0;0;63;52;81;80;55;90;79;68;77;15
200529;Chadli;Nacer Chadli;77;9000000;62000;Belgium;Belgium;AS Monaco;29;188;85;2;4;4;79;0;0;0;0;74;73;67;76;80;71;83;75;59;13
200155;Vanaken;Hans Vanaken;79;15500000;27000;Belgium;Belgium;Club Brugge KV;26;196;80;1;5;4;75;0;0;0;0;71;74;73;84;77;47;76;75;45;11
204529;Batshuayi;Michy Batshuayi Tunga;80;19000000;105000;Belgium;Belgium;Crystal Palace;25;185;78;2;5;4;77;0;0;0;0;65;82;75;64;78;80;78;75;63;15
202371;Meunier;Thomas Meunier;82;21000000;87000;Belgium;Belgium;Paris Saint-Germain;27;191;90;2;4;3;84;0;0;1;0;83;76;75;82;75;72;85;78;73;9
192984;Casteels;Koen Casteels;83;21500000;50000;Belgium;Belgium;VfL Wolfsburg;26;198;86;2;2;1;77;0;0;0;0;15;15;14;35;14;58;72;18;33;83
203486;Hazard;Thorgan Hazard;83;31000000;47000;Belgium;Belgium;Borussia Monchengladbach;25;175;69;2;3;4;79;0;0;0;0;79;76;38;82;87;60;62;78;57;8
139720;Kompany;Vincent Kompany;85;22000000;170000;Belgium;Belgium;Manchester City;32;191;85;4;3;2;85;0;1;0;0;61;45;83;73;63;72;87;55;87;6
177413;Witsel;Axel  Witsel;85;30000000;84000;Belgium;Belgium;Borussia Dortmund;30;188;81;3;4;4;81;0;0;0;0;69;71;81;89;78;76;82;77;81;7
192505;Lukaku;Romelu Lukaku;86;55000000;215000;Belgium;Belgium;Manchester United;25;191;94;3;3;3;82;0;0;0;1;72;86;85;76;78;71;94;74;71;10
183277;Hazard;Eden Hazard;91;93000000;340000;Belgium;Belgium;Chelsea;28;173;76;4;4;4;83;0;0;0;1;81;84;61;89;95;56;66;80;54;8
192985;De Bruyne;Kevin De Bruyne;91;102000000;355000;Belgium;Belgium;Manchester City;27;155;70;4;5;4;85;0;0;0;0;93;82;55;92;86;63;75;91;76;13
230168;phaelito Anjos;Raphael William Anjos Rochedo;82;14000000;32000;Brazil;Brazil;Gremio;31;191;85;1;2;1;75;1;0;0;0;10;8;11;18;9;67;79;7;34;78
230225;iano Mestres;Juan Everton Mestres de Mesquita;82;6500000;39000;Brazil;Brazil;Cruzeiro;35;155;82;1;3;2;73;0;0;0;0;40;56;83;67;60;91;79;61;86;18
230258;sberto Dourado;Rosberto J. Dourado Santos;82;16500000;46000;Brazil;Brazil;Atletico Mineiro;31;175;70;1;4;2;74;0;0;0;0;61;53;70;82;77;43;68;59;75;9
230234;erton Andrão;Everton Jorge Andrade Zanon;80;4500000;34000;Brazil;Brazil;Fluminense;35;152;75;1;4;2;73;0;0;1;0;75;58;59;78;75;67;71;64;81;8
230347;lington Dano;Welington Kauê Dano Nascimento;80;10500000;34000;Brazil;Brazil;Cruzeiro;31;152;69;1;4;4;73;0;1;0;0;82;51;69;78;77;71;68;53;69;7
230463;mão Acunha;Simão Alvin Acunha Bardini;77;8500000;35000;Brazil;Brazil;Atletico Mineiro;31;152;71;1;2;4;74;0;0;0;0;74;66;60;79;76;64;64;72;48;12
230323;íquão Castro;Kaíque Osvaldo Castro Rodrigues;75;2700000;20000;Brazil;Brazil;Fluminense;35;191;88;1;2;1;73;0;0;0;0;9;8;10;20;9;67;81;7;36;73
